Date,Close/Last,Volume,Open,High,Low
03/19/2024,515.71,60755260,512.15,515.995,511.12
03/18/2024,512.86,88893330,514,515.48,512.44
03/15/2024,509.83,107646300,510.21,511.7,508.122
03/14/2024,514.95,110171800,516.97,517.125,511.82
03/13/2024,515.97,55104090,517.11,517.29,514.49
3/12/2024,516.78,73114440,513.45,517.38,510.86
3/11/2024,511.28,62557180,510.48,511.88,508.5
3/8/2024,511.72,86532540,515.46,518.2201,511.13
3/7/2024,514.81,58652090,513.14,515.89,509.8053
3/6/2024,509.75,68382370,510.55,512.069,508.42
3/5/2024,507.18,72855620,510.24,510.7,504.91
3/4/2024,512.3,49799260,512.03,514.2,512
3/1/2024,512.85,76844840,508.98,513.29,508.56
02/29/2024,508.08,83924800,508.07,509.74,505.35
02/28/2024,506.26,56506630,505.33,506.855,504.96
02/27/2024,506.93,48854530,506.7,507.16,504.75
02/26/2024,505.99,50386740,508.3,508.75,505.86
02/23/2024,507.85,61321820,509.27,510.13,507.1
02/22/2024,507.5,76402540,504.01,508.49,503.02
02/21/2024,497.21,59603770,495.42,497.37,493.56
02/20/2024,496.76,71736740,497.72,498.41,494.45
02/16/2024,499.51,75532930,501.7,502.87,498.75
02/15/2024,502.01,61682960,499.29,502.2,498.795
02/14/2024,498.57,68387830,496.79,499.07,494.4
02/13/2024,494.08,113099200,494.53,497.09,490.715
2/12/2024,500.98,56502280,501.17,503.5,500.24
2/9/2024,501.2,63979380,498.84,501.65,498.49
2/8/2024,498.32,52343640,498.1,498.71,497.26
2/7/2024,498.1,70556510,496.29,498.53,495.36
2/6/2024,493.98,55918600,493.52,494.32,492.05
2/5/2024,492.55,75757100,493.695,494.3778,490.23
2/2/2024,494.35,99228190,489.65,496.05,489.3
2/1/2024,489.2,91891640,484.63,489.23,483.8
01/31/2024,482.88,126011100,488.62,489.0813,482.86
01/30/2024,490.89,58618390,490.56,491.62,490.11
01/29/2024,491.27,61322750,487.73,491.415,487.17
01/26/2024,487.41,76641610,487.59,489.12,486.54
01/25/2024,488.03,72524990,487.575,488.305,485.39
01/24/2024,485.39,81765040,487.81,488.77,484.8819
01/23/2024,484.86,49945300,484.01,485.105,482.89
01/22/2024,483.45,75844930,484.01,485.22,482.78
01/19/2024,482.43,110834500,477.65,482.72,476.5374
01/18/2024,476.49,91856250,474.01,477.06,472.42
01/17/2024,472.29,68843870,471.82,472.79,469.87
01/16/2024,474.93,85014870,475.26,476.6098,473.06
1/12/2024,476.68,58026420,477.84,478.6,475.23
1/11/2024,476.35,77940720,477.59,478.12,472.26
1/10/2024,476.56,67310640,474.16,477.4481,473.87
1/9/2024,473.88,65931440,471.87,474.93,471.35
1/8/2024,474.6,74879070,468.43,474.75,468.3
1/5/2024,467.92,86118910,467.49,470.44,466.43
1/4/2024,467.28,84232170,468.3,470.96,467.05
1/3/2024,468.79,103585900,470.43,471.19,468.17
1/2/2024,472.65,123007800,472.16,473.67,470.49
12/29/2023,475.31,122283100,476.49,477.03,473.3
12/28/2023,476.69,77158120,476.88,477.55,476.26
12/27/2023,476.51,68000310,475.44,476.66,474.89
12/26/2023,475.65,55386950,474.07,476.58,473.99
12/22/2023,473.65,67160420,473.86,475.38,471.7
12/21/2023,472.7,86667470,471.33,472.975,468.84
12/20/2023,468.26,102921000,473.96,475.895,467.82
12/19/2023,474.84,55761810,472.53,474.92,472.45
12/18/2023,471.97,70375290,470.98,472.98,469.8929
12/15/2023,469.33,141553700,469.49,470.7,467.4263
